,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
1164,Blåklokkevegen,41,B,Nidarvoll,nei
1164,Blåklokkevegen,42,,Nidarvoll,nei
1164,Blåklokkevegen,43,,Nidarvoll,nei
1164,Blåklokkevegen,43,A,Nidarvoll,nei
1164,Blåklokkevegen,45,A,Nidarvoll,nei
1164,Blåklokkevegen,45,B,Nidarvoll,nei
1164,Blåklokkevegen,47,,Nidarvoll,nei
1164,Blåklokkevegen,49,,Nidarvoll,nei
1164,Blåklokkevegen,49,A,Nidarvoll,nei
1164,Blåklokkevegen,54,,Blussuvoll,nei
1164,Blåklokkevegen,56,,Blussuvoll,nei
1164,Blåklokkevegen,56,A,Blussuvoll,nei
1164,Blåklokkevegen,56,B,Blussuvoll,nei
1164,Blåklokkevegen,58,,Blussuvoll,nei
1164,Blåklokkevegen,6,,Nidarvoll,nei
1164,Blåklokkevegen,60,,Blussuvoll,nei
1164,Blåklokkevegen,7,,Nidarvoll,nei
1164,Blåklokkevegen,8,,Nidarvoll,nei
1164,Blåklokkevegen,9,,Nidarvoll,nei
1166,Borchgrevinks vei,,,Sentrum,ja
1167,Borghild Rottems veg,,,Byåsen,ja
9266,Bosbergvegen,,,Saupstad,ja
1437,Bostadgårdan,,,Klæbu,ja
1415,Bostadvegen,,,Klæbu,ja
1169,Bragevegen,,,Nidarvoll,ja
8721,Bragstads veg,,,Byåsen,ja
1116,Brandhaugvegen,,,Klæbu,ja
8722,Brandhaugveita,,,Sentrum,ja
9307,Brandseggvegen,,,Nidarvoll,ja
8723,Brannhaugen,,,Byåsen,ja
1117,Brannåsvegen,,,Klæbu,ja
9329,Bratsberggrinda,,,Nidarvoll,ja
8724,Bratsbergvegen,,,Nidarvoll,ja
8725,Brattreinflata,,,Romolslia,ja
1176,Brattvollvegen,,,Falkenborg,ja
1178,Brattørgata,,,Sentrum,ja
1179,Brattørkaia,,,Sentrum,ja
1181,Brattørveita,,,Sentrum,ja
9406,Brauta,,,Rosten,ja
1182,Bregnevegen,,,Blussuvoll,ja
1183,Breidablikkstien,,,Sentrum,ja
1184,Breidablikveien,10,,Sentrum,nei
1184,Breidablikveien,100,,Byåsen,nei
1184,Breidablikveien,102,,Byåsen,nei
1184,Breidablikveien,104,,Byåsen,nei
1184,Breidablikveien,106,,Byåsen,nei
1184,Breidablikveien,108,,Byåsen,nei
1184,Breidablikveien,112,,Byåsen,nei
1184,Breidablikveien,114,,Byåsen,nei
1184,Breidablikveien,116,,Byåsen,nei
1184,Breidablikveien,118,,Byåsen,nei
1184,Breidablikveien,12,,Sentrum,nei
1184,Breidablikveien,120,,Byåsen,nei
1184,Breidablikveien,122,,Byåsen,nei
1184,Breidablikveien,124,,Byåsen,nei
1184,Breidablikveien,126,,Byåsen,nei
1184,Breidablikveien,128,,Byåsen,nei
1184,Breidablikveien,130,,Byåsen,nei
1184,Breidablikveien,134,,Byåsen,nei
1184,Breidablikveien,136,,Byåsen,nei
1184,Breidablikveien,14,,Sentrum,nei
1184,Breidablikveien,140,,Byåsen,nei
1184,Breidablikveien,16,,Sentrum,nei
1184,Breidablikveien,18,,Sentrum,nei
1184,Breidablikveien,2,,Sentrum,nei
1184,Breidablikveien,20,,Sentrum,nei
